OID,Shape_Leng,Shape_Area,NAME,POSTAL
-1,0.618841887083000,0.016121688329300,Centerville,47330
-1,0.382523535762000,0.001967073822800,Central,47110
-1,0.640878980729000,0.012890162905500,Chalmers,47929
-1,0.657388914735000,0.012458398547700,Chandler,47610
-1,1.122120025480000,0.021855224095300,Charlestown,47111
-1,0.239585298706000,0.002372979424370,Charlottesville,46117
-1,0.795063551387000,0.015829782450000,Chesterton,46304
-1,0.589501526634000,0.008905942210950,Chicago Heights,60411
-1,0.434357704690000,0.004955633380640,Chicago,60617
-1,0.360369144651000,0.002434940293730,Chicago,60633
-1,0.924989354579000,0.035880192836800,Chrisman,61924
-1,1.437680288360000,0.019051739467100,Chrisney,47611
-1,0.787572441266000,0.016318679764400,Churubusco,46723
-1,0.709996515990000,0.009453934195640,Cicero,46034
-1,0.398462207418000,0.006501010396430,Clarks Hill,47930
